id,company,sentiment_range,title,setiment_label,setiment_score,sentiment_NB
105,Standard Chartered PLC,-0.158,Standard Chartered Not Raising Capital Yet As Dividend Cut,neg,0,8.0
106,Tesco PLC,0.23,"Tesco set to sell Kipa, Giraffe businesses - Sky News",pos,1,12.0
107,United Utilities,0.42,United Utilities FY profit up 3.5%; to boost capex,pos,1,14.0
108,Tesco PLC,-0.518,Sale of Tesco's Clubcard business to WPP on the verge of collapse,neg,0,5.0
109,RBS,-0.30000000000000004,UK's Osborne may sell state-owned RBS shares at a loss -paper,neg,0,7.0
110,Tesco PLC,0.37799999999999995,Tesco Sale Is Asia's Biggest Private-Equity Deal,pos,1,14.0
111,Wolseley,0.28700000000000003,Industry NewsWolseley confident in reslilience amid mixed markets,pos,1,13.0
112,Nikkei,0.262,Japan's Nikkei lands Financial Times in $1.3 billion deal,pos,1,13.0
113,Royal Mail,0.0,UPDATE: Peter Long To Be Chairman Of Both Royal Mail And TUI AG,neg,0,10.0
114,BAT,0.461,UK regulators license BAT e-cigarette as quit-smoking medicine,pos,1,15.0
115,Aviva plc,-0.782,"Aviva, M&G suspend property funds as investors panic",neg,0,2.0
116,British American Tobacco plc,-0.528,British American Tobacco drops and sues PwC over pollution scandal,neg,0,5.0
117,Aberdeen Asset Management,-0.434,Aberdeen's shares slide as net outflows accelerate,neg,0,6.0
118,Hikma,0.452,REFILE-Hikma and Barclays help Britain's FTSE to climb higher,pos,1,15.0
119,Britvic,-0.13,"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",neg,0,9.0
120,Standard Chartered PLC,0.16699999999999998,Standard Chartered share price: Aberdeen CEO would back potential capital increase,pos,1,12.0
121,Severn Trent,0.433,Severn Trent share price jumps as Canadian investor renews pursuit of utility,pos,1,14.0
122,London Stock Exchange Group,-0.34700000000000003,France raises concerns over proposed LSE-Deutsche Boerse deal,neg,0,7.0
123,Brunzl,-0.335,Bunzl blames weakness in United States for first-half revenue slowdown,neg,0,7.0
124,Tesco PLC,-0.498,Tesco criticised for 'disgraceful' advert showing domestic worker being slapped,neg,0,5.0
125,Barclays,0.0,Tushar Morzaria is bookies' favourite to be new Barclays chief executive,neg,0,10.0
126,G4S,0.303,CompaniesG4S claims 'positive' start to the year,pos,1,13.0
127,Halliburton,-0.042,"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean",neg,0,10.0
128,BAE Systems,0.905,Shares in BAE Systems hit 10-month high on rating upgrade,pos,1,19.0
129,Alior Bank,0.233,GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,pos,1,12.0
130,Shell,0.0,Royal Dutch Shell plc: Shell Updates on Alaska Exploration,neg,0,10.0
131,Diageo,-0.521,City spirits sink after Diageo comes up short with sales slide,neg,0,5.0
132,Tesco PLC,0.35000000000000003,Tesco sales recover as focus returns to core business,pos,1,14.0
133,London Stock Exchange Group,0.14400000000000002,London Stock Exchange unit in talks to operate Plato venue,pos,1,11.0
134,IBM,0.34500000000000003,ARM Holdings plc Partners With International Business Machines Corp. To Drive ...,pos,1,13.0
135,GSK,0.294,GSK joins China trade push as UK trumpets healthcare deals,pos,1,13.0
136,Barclays,0.0,"Goldman Sachs, Barclays, HSBC downplay Brexit threat",neg,0,10.0
137,HSBC,0.0,HSBC marks muted 150th birthday party with grain of rice sculptures,neg,0,10.0
138,Barclays,0.036000000000000004,Barclays appoints JPMorgan's Paul Compton as new COO,pos,1,10.0
139,Standard Chartered PLC,0.9890000000000001,Standard Chartered Shares Jump Most Since '12 After Upgrades,pos,1,20.0
140,Shell,-0.231,Italy Probes Shell's Role in Purchase of Nigerian Oil Block,neg,0,8.0
141,Shropshire,-0.4,Shropshire and Mid Wales trains to be hit again in new strike by Arriva drivers,neg,0,6.0
142,Aviva plc,0.138,Friends Life lifts profits 38% and hikes divi ahead of proposed Aviva takeover,pos,1,11.0
143,Randgold Resources,-0.052000000000000005,Randgold profit hit by poor gold price but dividend still increases,neg,0,9.0
144,AstraZeneca,0.365,AstraZeneca does US$770mln anaesthetic deal,pos,1,14.0
145,AB InBev,-0.369,AB InBev's Latest Bid Said Unlikely to Win SABMiller's Approval,neg,0,6.0
146,ITV,0.611,ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,pos,1,16.0
147,Diageo,0.182,Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group,pos,1,12.0
148,Pearson,-0.664,Pearson to cut 4000 jobs as it warns on profits,neg,0,3.0
149,Takeda,-0.198,"FDA panel backs safety updates for AstraZeneca, Takeda drugs",neg,0,8.0
150,London Stock Exchange Group,0.105,LSE-Deutsche Boerse merger would signal end to exchange mega-deals,pos,1,11.0
151,Intertek Group,-0.391,"Intertek Hit By Pound Strength, Oil & Gas Slowdown; Still Ups Dividend",neg,0,6.0
152,Tesco PLC,0.213,Tesco says recovery plan working after profit collapse,pos,1,12.0
153,BP,0.208,Kinder Morgan and BP Form Joint Venture Limited Liability Company to Purchase ...,pos,1,12.0
154,Shell,0.0,Shell and BG Shareholders to Vote on Deal at End of January,neg,0,10.0
155,Starwood,0.145,"Intercontinental Hotels, Starwood held early deal talks - FT",pos,1,11.0
156,Berkshire Hathaway,0.48100000000000004,Warren Buffett's Berkshire Hathaway buys stake in Apple,pos,1,15.0
157,Baxalta,0.34299999999999997,Sunday Papers: Shire told to raise its offer by Baxalta investors,pos,1,13.0
158,Barratt,0.5579999999999999,"Britain's FTSE bounces back, Mondi and Barratt lead",pos,1,16.0
159,Glencore,-0.37,Glencore slashes 2015 capex budget as annual profits slip 2%,neg,0,6.0
160,AB InBev,0.12300000000000001,Anheuser-Busch InBev Increases Offer for Rival SABMiller,pos,1,11.0
161,Home Retail Group,0.0,Sainsbury CFO Rogers to Replace Home Retail CEO Walden,neg,0,10.0
162,Barclays,0.212,"UPDATE 2-Exchanges, Barclays win dismissal of US high-frequency trading case",pos,1,12.0
163,Barclays,-0.34,MarketsUS industrials lag as Barclays dims view,neg,0,7.0
164,RSA Insurance,0.376,Zurich Insurance Considering Offer for UK Rival RSA Insurance,pos,1,14.0
165,Mylan,-0.86,US DOJ antitrust unit subpoenas Mylan over pricing of doxycycline,neg,0,1.0
166,AstraZeneca,0.335,AstraZeneca sells US gout drug rights to Ironwood for up to $265 million,pos,1,13.0
167,Shell,0.057,"Shell, Chevron Await LNG's Return From `Pause Mode'",pos,1,11.0
168,London Stock Exchange Group,-0.19899999999999998,Companies raise less money on London Stock Exchange in 2015,neg,0,8.0
169,BG Group,0.0,Shell and BG Shareholders to Vote on Deal at End of January,neg,0,10.0
170,Glencore,0.407,Glencore shares rally after miner hits back,pos,1,14.0
171,ABN Amro,0.353,ABN Amro: Bank that brought down RBS poised for return to the market,pos,1,14.0
172,AT&T,-0.447,Verizon and AT&T accused of hurting rivals,neg,0,6.0
173,ARM Holdings plc,0.5489999999999999,ARM swings to profit in fourth quarter,pos,1,15.0
174,Johnson Matthey,0.0,Johnson Matthey profit falls but dividend rises,neg,0,10.0
175,Auto Trader,0.655,Auto Trader share price surges as company floats on LSE,pos,1,17.0
176,Hillshire Farms,0.1,ConAgra Names Former Hillshire Farms CEO Connolly to Top Post,pos,1,11.0
177,Hargreaves Lansdown,-0.46399999999999997,Hargreaves Landown slides on trading update,neg,0,5.0
178,Asda,-0.226,"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",neg,0,8.0
179,WPP,0.555,"WPP, World's Largest Ad Agency, Reports Strong 2015 Growth",pos,1,16.0
180,BG Group,0.5660000000000001,Shell Targets Gains From Brazil to LNG With Takeover of BG Group,pos,1,16.0
181,Barclays,-0.84,Four former Barclays bankers jailed over Libor,neg,0,2.0
182,Tesco,-0.623,Tesco Cut to Junk at Moody's on Concern Revival to Take Time,neg,0,4.0
183,Glencore,0.193,LPC-Glencore launches refinancing of $8.45billion loan,pos,1,12.0
184,Ashtead,0.514,"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",pos,1,15.0
185,EasyJet,0.147,Easyjet targets business travellers with new perks,pos,1,11.0
186,BP,0.24,BP joins forces with Det Norske in Norway,pos,1,12.0
187,Baxalta,0.26899999999999996,Shire proposes $30 bln all-share tie-up with Baxalta,pos,1,13.0
188,Tesco PLC,0.256,Tesco sales rise shows tentative recovery continues,pos,1,13.0
189,Valeant Pharmaceuticals International,0.0,Valeant Names Interim Leader as CEO Remains Hospitalized,neg,0,10.0
190,AstraZeneca,0.28400000000000003,AstraZeneca weighing up Acerta bid to secure blood cancer drug,pos,1,13.0
191,BP,-0.16,BP asks for lower fine in penalty phase of Gulf spill trial,neg,0,8.0
192,Shire,0.48700000000000004,MarketsShire up 2.5% and Baxalta up 6% on $32bn deal,pos,1,15.0
193,Berkshire Hathaway Inc.,0.156,"Warren Buffett's Awesome Feat at Berkshire Hathaway, Revisited",pos,1,12.0
194,Lloyds Banking Group PLC,0.292,Lloyds Banking Group's share price lifts amid reports bank is poised to axe hundreds of UK jobs,pos,1,13.0
195,SSE,-0.173,SSE cuts gas prices by 4.1% to become fifth of 'Big Six' providers to slash energy ...,neg,0,8.0
196,Rolls-Royce,0.099,Silicon Fen' champion brings exacting approach to Rolls-Royce,pos,1,11.0
197,Tesco PLC,0.364,Tesco Said to Discuss Central and Eastern European Unit Sale,pos,1,14.0
198,Glencore,0.19899999999999998,Glencore launches refinancing of credit line,pos,1,12.0
199,Apple,0.023,Should You Follow Berkshire Hathaway Into Apple Stock?,pos,1,10.0
200,Friends Life,0.516,UK WINNERS & LOSERS: Aviva And Friends Life Lead FTSE 100 Gainers,pos,1,15.0
201,Shire,0.29100000000000004,FDA approves Shire's Vyvanse for binge-eating disorder,pos,1,13.0
202,Entertainment One,0.138,Entertainment One dispels ITV takeover rumours,pos,1,11.0
203,Tesco PLC,-0.077,"Despite sales growth, UK's Tesco cautions recovery to be bumpy",neg,0,9.0
204,BG,-0.5640000000000001,Oil Giant Shell to Cut Around 2800 Jobs Amid BG Takeover,neg,0,4.0
205,BAE Systems,-0.069,BAE Systems banks on US defence spending to fix sales slide,neg,0,9.0
206,National Grid,-0.33399999999999996,UK Christmas power demand to be lowest in 16 years â€“ National Grid,neg,0,7.0
207,Compass Group,0.426,CompaniesCompass serves up half year profit rise,pos,1,14.0
208,Hargreaves Lansdown,-0.15,UK MORNING BRIEFING: Sky And Hargreaves Lansdown Bookend FTSE 100,neg,0,8.0
209,InterContinental Hotels Group,0.631,InterContinental Hotels Group share price climbs on $1.5bn special dividend,pos,1,16.0
210,AstraZeneca,0.21,AstraZeneca in Talks to Buy Cancer Drug Developer Acerta Pharma,pos,1,12.0
211,Amazon,0.34900000000000003,Amazon to attack UK grocery market with Morrisons deal,pos,1,13.0
212,Tesco PLC,-0.265,Tesco made a bit of a crucial error in this promotion for Ramadan...,neg,0,7.0
213,Weir Group,-0.5529999999999999,"Falling oil prices hurt Hunting, Weir Group",neg,0,4.0
214,Shire,0.195,Morning Agenda: Shire's Deal for NPS,pos,1,12.0
215,AstraZeneca,0.5489999999999999,AstraZeneca wins FDA approval for key new lung cancer pill,pos,1,15.0
216,Lloyds,-0.84,FCA set to fine Lloyds record Â£100m over PPI,neg,0,2.0
217,Barclays,0.1,"Barclays's Next CEO Should Be Investment Banker, Aberdeen Says",pos,1,11.0
218,Barclays,-0.971,RBS and Barclays shares temporarily suspended amid heavily losses,neg,0,0.0
219,Shire,0.235,Shire to buy NPS for $5.2 billion to boost rare disease drugs,pos,1,12.0
220,Tesco PLC,-0.168,Tesco's boardroom clearout continues,neg,0,8.0
221,BHP Billiton,-0.2,BHP Billiton says no settlement yet on Brazil dam disaster,neg,0,8.0
222,ARM Holdings plc,0.35200000000000004,Arm buoyed by race to build the internet of things,pos,1,14.0
223,AstraZeneca,-0.391,AstraZeneca diabetes drug combination faces delay after FDA rebuff,neg,0,6.0
224,Morrisons,0.389,Amazon's grocery deal with Morrisons is only the beginning,pos,1,14.0
225,BAE Systems,0.39,BAE Systems's sales boosted by European Typhoon and currencies,pos,1,14.0
226,Aberdeen Asset Management,-0.612,CompaniesAberdeen Asset Mgt reports 10th consecutive quarterly outflows,neg,0,4.0
227,JP Morgan,-0.1,Barclays CEO poaches risk head from JP Morgan,neg,0,9.0
228,BP,0.48,BP signs $12 billion energy deal in Egypt,pos,1,15.0
229,Baxalta,0.23,Shire says internal synergy goals from Baxalta deal higher,pos,1,12.0
230,Essence Digital,0.299,WPP wins race for 'programmatic buying' agency Essence Digital,pos,1,13.0
231,Baxalta,0.75,Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit,pos,1,18.0
232,AstraZeneca,-0.064,AstraZeneca investment eats into profit,neg,0,9.0
233,Inovio,0.316,"AstraZeneca bags another cancer drug deal, this time with Inovio",pos,1,13.0
234,Centrica PLC,-0.429,CompaniesCentrica shares drop 7% amid capital raise,neg,0,6.0
235,Rio Tinto,-0.665,Miners Meltdown as BHP to Rio Tinto Sink in Commodities Rout,neg,0,3.0
236,Tullow Oil,0.402,UPDATE 1-Britain's Tullow says makes new oil find in Kenya,pos,1,14.0
237,National Grid,0.27899999999999997,Britain's power supplies enough to meet winter demand - National Grid,pos,1,13.0
238,Lloyds Banking Group PLC,0.434,Barclays PLC & Lloyds Banking Group PLC Are The 2 Banks I'd Buy Today,pos,1,14.0
239,Berkshire Hathaway Inc.,0.18899999999999997,UPDATE 3-Buffett's Berkshire raises oil bet with Kinder Morgan stake,pos,1,12.0
240,EasyJet,0.315,"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February",pos,1,13.0
241,Barclays,0.231,PRESS: US High-Frequency Lawsuit Against Barclays Dismissed - Reuters,pos,1,12.0
242,Shell,-0.1,Shell CEO van Beurden's remuneration fell in 2015,neg,0,9.0
243,Aberdeen Asset Management,-0.364,"Aberdeen AM posts H1 outflows, says conditions to remain challenging",neg,0,6.0
244,Kraft Heinz,-0.179,"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",neg,0,8.0
245,Shell,-0.035,Shell seeks to remove Greenpeace activists from oil rig,neg,0,10.0
246,BP,-0.121,"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean",neg,0,9.0
247,Pearson,0.386,Pearson Forecasts Rising Earnings as Reorganization Pays Off,pos,1,14.0
248,Morrisons,-0.113,Morrisons faces festive sales test,neg,0,9.0
249,Friends Life,-0.09,Aviva shuts Friends Life head office in rapid integration move,neg,0,9.0
250,Tesco,-0.32299999999999995,Tesco to pay Â£8m to settle class-action lawsuit after accounting scandal,neg,0,7.0
251,Lehman,0.16399999999999998,UPDATE 3-Stifel to buy former Lehman brokerage from Barclays,pos,1,12.0
252,Royal Mail,-0.109,CompaniesRoyal Mail stake sale delivers Â£750m for taxpayer,neg,0,9.0
253,ICE,0.055999999999999994,NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger,pos,1,11.0
254,CaixaBank,0.185,Spain's Caixabank launches new takeover bid for Banco BPI,pos,1,12.0
255,Aviva plc,-0.373,Former Aviva Investors analyst Mothahir Miah banned and fined Â£139000 by FCA ...,neg,0,6.0
256,ARM Holdings plc,0.17800000000000002,ARM shrugs off smartphone slowdown as newer designs win share,pos,1,12.0
257,Petrofac,-0.446,UPDATE 1-Petrofac posts net loss hurt by Shetland Islands project costs,neg,0,6.0
258,Kingfisher,0.304,Do it for me' trend underpins UK sales growth at Kingfisher,pos,1,13.0
259,RBS,0.2,RBS invites pitches for broker role ahead of privatisation - sources,pos,1,12.0
260,Bunzl,0.247,Bunzl delivers small profit increase for 2014,pos,1,12.0
261,AB InBev,-0.018000000000000002,AB InBev Holds Talks With Regulators About California Deals,neg,0,10.0
262,Worldpay,-0.452,CompaniesMorrison evicted from FTSE 100 as Worldpay joins,neg,0,5.0
263,Barclays,-0.196,Barclays denies deferred prosecution offer from SFO,neg,0,8.0
264,Kingfisher,-0.377,LONDON MIDDAY BRIEFING: Kingfisher's French Expansion Hits The Rocks,neg,0,6.0
265,Serco,0.122,"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT",pos,1,11.0
266,Tesco PLC,0.21100000000000002,Tesco chief excutive Dave Lewis sees 'encouraging signs' despite profits tumble,pos,1,12.0
267,EasyJet,0.188,"EasyJet ""Sneakairs"": Airline is testing smart shoes to help customers explore destinations",pos,1,12.0
268,Coca-Cola FEMSA,0.293,The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,pos,1,13.0
269,SSE,-0.31,SSE faces profiteering accusations despite 5.3% cut in gas charges,neg,0,7.0
270,Royal Bank of Scotland Group plc,0.643,CompaniesRBS pulls a surprise: a 27% jump in profits,pos,1,16.0
271,Chevron,0.067,"Shell, Chevron Await LNG's Return From `Pause Mode'",pos,1,11.0
272,Barclays,0.28500000000000003,Barclays settles with US investors over Libor manipulation,pos,1,13.0
273,Tesco PLC,0.19,"Tesco says recovery on track, asks investors to be patient",pos,1,12.0
274,Dunelm Group plc,0.14,"Should you buy Associated British Foods plc, Great Portland Estates plc and Dunelm Group plc following today's news?",pos,1,11.0
275,Royal Bank of Scotland Group plc,-0.6900000000000001,"UPDATE 1-Nomura, RBS must pay $806 mln in mortgage bond case-US judge",neg,0,3.0
276,National Grid,0.368,National Grid profit up 15%; gas sale on track,pos,1,14.0
277,AstraZeneca,0.519,AstraZeneca chases Acerta to secure next cancer drug winner,pos,1,15.0
278,Prudential,0.337,"Prudential capital ratio beats forecasts, confirms UK head",pos,1,13.0
279,Prudential Financial,0.0,CompaniesEx-City watchdog Turner joins Prudential board,neg,0,10.0
